Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
33328,Used Oil,JUL-15-2014,No Jurisdiction,Memphis,Shelby,JUL-15-2014,Garage,JUL-07-2014,
33254,Used Oil,JUL-01-2014,Corrected (No NOV),Memphis,Shelby,JUL-01-2014,,JUN-30-2014,
33707,Used Oil,JUN-20-2014,No Problem Found,Memphis,Shelby,JUN-20-2014,Warrior Ministries,JUN-19-2014,
33071,Other,JUN-25-2014,Corrected (No NOV),Memphis,Shelby,JUN-25-2014,HMI Electric  (TND 98-778-9948),JUN-11-2014,
33021,Haz Waste Issue,JUN-20-2014,NOV,Memphis,Shelby,JUN-20-2014,Hotsy Pressure Washers,JUN-09-2014,
32920,Used Oil,JUL-07-2014,No Problem Found,Memphis,Shelby,JUL-07-2014,Auto Service Garage,MAY-29-2014,
32909,Other,MAY-28-2014,Referred to other Agency/Section,Memphis,Shelby,MAY-28-2014,Recycle Solutions,MAY-28-2014,
32902,Haz Waste Issue,MAY-30-2014,Corrected (No NOV),Memphis,Shelby,MAY-30-2014,Bioenergy Development Group LLC,MAY-28-2014,TND099179418
32849,Illegal Dumping,MAY-20-2014,Referred to other Agency/Section,Memphis,Shelby,MAY-20-2014,,MAY-20-2014,
32785,Other,MAY-16-2014,Referred to other Agency/Section,Memphis,Shelby,MAY-16-2014,Poplar Estates-Residence,MAY-05-2014,
32564,Haz Waste Issue,MAY-01-2014,No Problem Found,Memphis,Shelby,MAY-01-2014,A S Barboro Inc,APR-28-2014,
32124,Illegal Dumping,MAR-21-2014,No Problem Found,Memphis,Shelby,MAR-21-2014,Waste Management ,MAR-21-2014,
32176,Illegal Dumping,MAR-13-2014,NOV,Memphis,Shelby,MAR-13-2014,FIBERFINE OF MEMPHIS,MAR-13-2014,NRS790000175
31820,Illegal Dumping,FEB-19-2014,Referred to other Agency/Section,Memphis,Shelby,FEB-19-2014,Enos and Mary Lewis Site,FEB-19-2014,
32121,Other,FEB-19-2014,No Problem Found,Memphis,Shelby,FEB-19-2014,Fortune Sky,FEB-06-2014,
31640,Used Oil,JAN-27-2014,Referred to other Agency/Section,Memphis,Shelby,JAN-27-2014,Corner of Third and Webster behind gas station,JAN-27-2014,
31319,Illegal Dumping,JAN-06-2014,Referred to other Agency/Section,Memphis,Shelby,JAN-06-2014,Collierville Residential Property,JAN-06-2014,
30629,Other,NOV-05-2013,Referred to other Agency/Section,Memphis,Shelby,NOV-05-2013,Stovall Engineering Co Inc,NOV-04-2013,
30532,Illegal Dumping,OCT-30-2013,No Problem Found,Memphis,Shelby,OCT-30-2013,4544 Big Creek Church Rd.,OCT-22-2013,
30493,Illegal Dumping,NOV-08-2013,No Jurisdiction,Memphis,Shelby,NOV-08-2013,Residence,OCT-17-2013,
30403,Other,NOV-08-2013,No Jurisdiction,Memphis,Shelby,NOV-08-2013,Professional Medical Transport (currently abandoned building),OCT-02-2013,
30064,Haz Waste Issue,SEP-30-2013,Referred to other Agency/Section,Memphis,Shelby,SEP-30-2013,Rodriquez Auto Repair,AUG-29-2013,
30080,Illegal Dumping,SEP-06-2013,No Problem Found,Memphis,Shelby,SEP-06-2013,"Bio-Energy Development Group, LLC",AUG-27-2013,
30011,Illegal Dumping,AUG-26-2013,No Jurisdiction,Memphis,Shelby,AUG-26-2013,Demolition Site,AUG-23-2013,
