address,latitude,longitude,geopoint
698 HAZELWOOD RD,35.06000867,-90.08736899,"35.06000867, -90.08736899"
845 E KERR AVE,35.10689745,-90.03446569,"35.10689745, -90.03446569"
4279 GIVEN AVE,35.1565558,-89.91821209,"35.15655580, -89.91821209"
3396 REDCLIFF DR,35.2513624,-89.95045251,"35.25136240, -89.95045251"
477 E GAGE AVE,35.0870833,-90.04707965,"35.08708330, -90.04707965"
3307 KEATS RD,35.21600638,-89.88596089,"35.21600638, -89.88596089"
2428 VANDALE AVE,35.1675955,-89.97636888,"35.16759550, -89.97636888"
2573 GLENLIVET DR,35.07876502,-89.85024563,"35.07876502, -89.85024563"
1595 FLEETWOOD AVE,35.11711753,-90.0089596,"35.11711753, -90.00895960"
4314 CASTLE AVE,35.15268524,-89.9169949,"35.15268524, -89.91699490"
4862 GILL RD,35.01563926,-90.05203153,"35.01563926, -90.05203153"
1736 E ALCY RD,35.07808977,-90.00501836,"35.07808977, -90.00501836"
303 N WALNUT BEND RD,35.13342928,-89.78562777,"35.13342928, -89.78562777"
1371 GREENWOOD ST,35.10913666,-90.0246112,"35.10913666, -90.02461120"
3492 HILLRIDGE ST,35.05333151,-90.05396627,"35.05333151, -90.05396627"
245 S WATKINS ST,35.13510672,-90.01447309,"35.13510672, -90.01447309"
2329 IMOGENE ST,35.08167703,-89.98038276,"35.08167703, -89.98038276"
237 N AVALON ST,35.14480945,-90.00729473,"35.14480945, -90.00729473"
7934 E WOODCHASE DR,35.17872915,-89.79844298,"35.17872915, -89.79844298"
2073 FLORIDA ST,35.09079509,-90.06323763,"35.09079509, -90.06323763"
1297 S COLLEGE ST,35.11131537,-90.03064107,"35.11131537, -90.03064107"
3542 MIMOSA AVE,35.13923212,-89.94332864,"35.13923212, -89.94332864"
MICHIGAN,35.10244353,-90.05710565,"35.10244353, -90.05710565"
ASH ST.,35.17528105,-89.95398929,"35.17528105, -89.95398929"
4075 ELLISTON RD,35.08442822,-89.92618433,"35.08442822, -89.92618433"
84 N GOODLETT ST,35.13384702,-89.92564825,"35.13384702, -89.92564825"
4264 TIMBER RISE RD,35.03201216,-89.82894513,"35.03201216, -89.82894513"
3123 SIGNAL ST,35.21089956,-90.01201543,"35.21089956, -90.01201543"
1415 KYLE,35.10739605,-90.00520697,"35.10739605, -90.00520697"
1402 BRIARWOOD RD,35.09366542,-89.92438111,"35.09366542, -89.92438111"
0 WOODBINE,35.10781364,-90.02222742,"35.10781364, -90.02222742"
1952 S PROSPECT ST,35.09356188,-90.03737524,"35.09356188, -90.03737524"
4093 PONCA ST,35.03700553,-90.10591584,"35.03700553, -90.10591584"
3585 PHILSDALE AVE,35.09467042,-89.94319984,"35.09467042, -89.94319984"
3095 HOSKINS RD,35.10309651,-89.95948215,"35.10309651, -89.95948215"
667 MARSH AVE,35.21187494,-90.04170871,"35.21187494, -90.04170871"
1607 LATHAM ST,35.10335631,-90.052051,"35.10335631, -90.05205100"
2207 PUEBLO AVE,35.22119472,-89.99003601,"35.22119472, -89.99003601"
4052 SHIRLEY DR,35.03810124,-90.04306999,"35.03810124, -90.04306999"
1930 FELIX AVE,35.11912838,-89.99771037,"35.11912838, -89.99771037"
3980 LAKEWOOD CV,35.21223942,-89.93044989,"35.21223942, -89.93044989"
4829 HORN LAKE RD,35.01661068,-90.06866638,"35.01661068, -90.06866638"
6158 VALLEYDALE DR,35.02709178,-89.85809076,"35.02709178, -89.85809076"
0 E OLIVE AVE,35.10996499,-90.0609865,"35.10996499, -90.06098650"
55 E MALLORY AVE,35.08633475,-90.0611755,"35.08633475, -90.06117550"
1080 FOX TRACE CV,35.15455126,-89.80517608,"35.15455126, -89.80517608"
3521 DENVER ST,35.22169283,-89.9962694,"35.22169283, -89.99626940"
596 WALNUT,35.13075923,-90.03482032,"35.13075923, -90.03482032"
1635 S TREZEVANT ST,35.10081202,-89.98465405,"35.10081202, -89.98465405"
651 EAST DR,35.153773,-89.98262761,"35.15377300, -89.98262761"
FAXON AVE,35.15523389,-90.0215097,"35.15523389, -90.02150970"
2103 CARR AVE,35.13081044,-89.99154704,"35.13081044, -89.99154704"
708 E HARRY AVE,35.10643989,-90.03869577,"35.10643989, -90.03869577"
1885 EVELYN AVE,35.12272932,-89.99929026,"35.12272932, -89.99929026"
5027 CHESTON AVE,35.06282515,-89.89593793,"35.06282515, -89.89593793"
1196 S JAMES ST,35.11393809,-90.02272283,"35.11393809, -90.02272283"
3920 VOLTAIRE AVE,35.23986311,-89.93276605,"35.23986311, -89.93276605"
3 S FENWICK RD,35.13208795,-89.96650258,"35.13208795, -89.96650258"
4442 DOUBLE TREE RD,35.0273286,-90.10323934,"35.02732860, -90.10323934"
5540 FLOWERING PEACH DR,35.04447592,-89.87880819,"35.04447592, -89.87880819"
1596 GLENVIEW AVE,35.1109347,-90.00929997,"35.11093470, -90.00929997"
3575 KEARNEY AVE,35.11213725,-89.94314642,"35.11213725, -89.94314642"
